separation,tau,defect
70.0,64,1.0642856359869164
70.0,66,0.9591415643735337
70.0,68,0.9351565094557581
70.0,70,0.9315987064033017
70.0,72,0.9353896625179601
70.0,74,0.9302844824050989
70.0,76,0.9307965234360494
70.0,78,0.9312845258818513
70.0,80,0.9397471936030779
70.0,82,0.9413093223282176
70.0,84,0.939825522361939
70.0,86,0.9442408952846421
70.0,88,0.9428963085784408
70.0,90,0.9356658403724419
70.0,92,0.9266745684879316
70.0,94,0.9313107515498454
70.0,96,0.9311895519064514
70.0,98,0.9381761004969204
70.0,100,0.9345158177870406
70.0,102,0.9338404648577178
70.0,104,0.9318886144521681
70.0,106,0.936714055614032
70.0,108,0.9387742345923272
70.0,110,0.9378248904187804
70.0,112,0.9390830488951497
70.0,114,0.937638006441848
70.0,116,0.9334424513139917
70.0,118,0.9313904337660737
70.0,120,0.932446402385311
